groundHumidity,lightIntensity,airHumidity,airTemperature
83,19.17,56,21
83,18.33,56,21
83,20.00,55,21
83,17.50,55,21
83,12.50,56,21
83,12.50,56,21
83,12.50,56,21
83,17.50,56,21
83,12.50,56,21
83,13.33,56,21
83,11.67,56,21
83,16.67,55,21
83,16.67,56,21
83,17.50,56,21
83,15.83,56,21
84,16.67,56,21
83,17.50,56,21
83,18.33,56,21
83,20.00,56,21
83,19.17,56,21
83,20.00,56,21
83,15.00,56,21
83,15.00,56,21
83,15.00,56,21
83,15.83,56,21
83,16.67,56,21
83,15.83,56,21
83,15.83,56,21
83,15.83,56,21
83,15.83,57,21
83,15.83,57,21
83,14.17,57,21
84,16.67,56,21
83,16.67,56,21
84,16.67,56,21
84,16.67,56,21
84,18.33,56,21
84,17.50,56,21
84,20.83,56,21
84,29.17,56,21
84,29.17,56,21
84,29.17,56,21
84,29.17,56,21
83,29.17,56,21
84,29.17,56,21
84,29.17,56,21
83,29.17,56,21
83,29.17,56,21
84,29.17,56,21
84,29.17,56,21
84,30.00,56,21
84,30.00,56,21
84,30.83,56,21
84,30.83,56,21
84,30.83,56,21
84,30.83,56,21
84,31.67,56,21
84,31.67,56,21
84,31.67,56,21
84,31.67,56,21
84,31.67,56,21
84,32.50,56,21
84,32.50,56,21
84,32.50,56,21
84,33.33,56,21
84,33.33,56,21
84,33.33,56,21
84,33.33,56,21
84,33.33,56,21
84,33.33,56,21
84,34.17,56,21
84,34.17,56,21
84,34.17,56,21
84,34.17,56,21
84,34.17,56,21
84,34.17,56,21
84,34.17,56,21
84,34.17,56,21
84,34.17,56,21
84,34.17,56,21
84,34.17,56,21
84,34.17,56,21
84,34.17,56,21
84,33.33,56,21
84,34.17,56,21
84,34.17,56,21
84,34.17,56,21
84,34.17,56,21
84,34.17,56,21
84,34.17,56,21
84,34.17,56,21
84,34.17,56,21
84,34.17,56,21
84,34.17,56,21
84,35.00,56,21
84,35.00,56,21
84,35.00,56,21
84,35.00,56,21
84,35.00,56,21
84,35.00,56,21
84,34.17,56,21
84,34.17,56,21
85,34.17,56,21
85,33.33,56,21
84,33.33,56,21
85,33.33,56,21
85,33.33,56,21
85,32.50,56,21
85,32.50,56,21
85,32.50,56,21
85,33.33,56,21
85,33.33,56,21
85,33.33,56,21
85,33.33,56,21
85,33.33,56,21
85,33.33,56,21
85,33.33,56,21
85,34.17,56,21
85,34.17,56,21
85,34.17,56,21
85,34.17,56,21
85,35.00,56,21
85,35.00,56,21
85,35.00,56,21
85,35.00,56,21
85,35.00,56,21
85,35.00,56,21
85,35.00,56,21
85,35.00,56,21
85,35.00,56,21
85,35.00,56,21
85,35.00,56,21
85,35.00,56,21
85,35.00,56,21
85,35.00,56,21
85,35.00,56,21
85,35.83,56,21
85,35.83,56,21
85,35.83,56,21
85,36.67,56,21
85,37.50,56,21
85,37.50,56,21
85,37.50,56,21
85,38.33,56,21
85,38.33,56,21
85,38.33,56,21
85,38.33,56,21
85,39.17,56,21
85,39.17,56,21
85,39.17,56,21
85,39.17,56,21
85,39.17,56,21
85,39.17,56,21
85,40.00,56,21
85,40.00,56,21
85,40.00,56,21
85,40.83,56,21
85,40.83,56,21
85,41.67,56,21
85,41.67,56,21
86,41.67,56,21
85,41.67,56,21
85,41.67,56,21
85,41.67,56,21
85,41.67,56,21
85,42.50,56,21
85,42.50,56,21
85,43.33,56,21
86,43.33,56,21
86,43.33,56,21
86,44.17,57,21
86,44.17,57,21
86,45.00,57,21
86,45.00,57,21
86,45.00,57,21
86,45.83,57,21
86,45.83,57,21
86,46.67,57,21
86,47.50,57,21
86,33.33,57,21
86,29.17,57,21
86,29.17,57,21
86,29.17,57,21
86,45.00,57,21
86,45.83,58,21
86,35.83,57,21
86,50.00,57,21
86,31.67,57,21
86,25.83,57,21
86,32.50,57,21
86,51.67,57,21
86,52.50,57,21
86,53.33,57,21
86,53.33,57,21
86,55.00,57,21
86,55.83,57,21
86,56.67,57,21
86,58.33,57,21
86,59.17,57,21
86,60.00,57,21
86,60.83,57,21
86,62.50,57,21
86,63.33,57,21
86,65.00,57,21
86,65.83,57,21
86,67.50,57,21
86,69.17,57,21
86,70.00,57,21
86,70.00,57,21
86,70.00,58,21
86,69.17,57,21
86,69.17,58,21
86,69.17,58,21
86,70.00,58,21
86,70.83,58,21
86,71.67,58,21
86,71.67,58,21
86,71.67,58,21
86,70.83,58,21
86,70.83,58,21
86,71.67,58,21
86,70.83,58,21
86,70.00,58,21
86,70.00,58,21
86,69.17,58,21
86,68.33,58,21
86,68.33,58,21
86,67.50,58,21
86,66.67,58,21
86,65.83,58,21
86,65.00,58,21
86,64.17,58,21
86,63.33,58,21
87,62.50,58,21
86,62.50,58,21
86,61.67,58,21
86,60.83,58,21
87,60.83,58,21
87,60.83,58,21
87,60.83,58,21
87,60.83,58,21
86,60.83,58,21
87,60.00,58,21
87,60.00,58,21
86,59.17,58,21
86,59.17,58,21
86,59.17,58,21
86,60.00,58,21
86,60.00,58,21
87,60.83,59,21
87,61.67,59,21
87,62.50,58,21
87,63.33,58,21
87,64.17,58,21
87,63.33,58,21
87,62.50,58,21
87,61.67,58,21
87,60.00,58,21
87,59.17,58,21
87,58.33,58,21
87,58.33,58,21
87,58.33,58,21
87,58.33,58,21
87,59.17,58,21
87,59.17,58,21
87,60.00,58,21
87,60.00,58,21
87,60.83,58,21
87,61.67,58,21
87,62.50,58,21
87,63.33,58,21
87,63.33,58,21
87,63.33,58,21
87,63.33,58,21
87,63.33,58,21
87,64.17,58,21
87,64.17,58,21
87,64.17,58,21
87,65.00,57,21
87,65.83,57,21
87,67.50,57,21
87,69.17,57,21
87,70.83,57,21
87,72.50,57,21
87,74.17,57,21
87,75.00,57,21
87,75.83,57,21
87,75.83,57,21
87,75.00,57,21
87,74.17,57,21
87,73.33,57,21
87,73.33,57,21
87,74.17,57,21
87,74.17,57,21
87,75.00,57,21
87,76.67,57,21
87,77.50,57,21
87,79.17,57,21
87,80.00,57,21
87,80.83,57,21
87,80.83,57,21
87,80.83,57,21
87,80.83,57,21
87,80.83,57,21
87,81.67,57,21
87,80.83,57,21
87,79.17,57,21
87,79.17,57,21
87,79.17,57,21
87,79.17,57,21
87,42.50,57,21
87,34.17,57,21
87,36.67,57,21
87,41.67,57,21
87,38.33,57,21
87,36.67,57,21
87,32.50,57,21
87,76.67,57,21
87,26.67,57,21
87,80.00,57,21
87,80.00,57,21
87,79.17,57,21
87,80.00,57,21
87,80.00,57,21
87,83.33,57,21
87,35.83,58,21
87,30.83,58,21
87,26.67,59,21
87,36.67,57,21
87,36.67,57,21
87,37.50,57,21
87,97.50,57,21
87,98.33,57,21
87,98.33,57,21
87,96.67,57,21
87,38.33,57,21
87,37.50,57,21
87,31.67,57,21
87,32.50,57,21
87,32.50,57,21
87,35.83,57,21
87,36.67,57,21
87,37.50,57,21
87,32.50,57,21
87,42.50,57,21
87,37.50,57,21
87,38.33,57,21
87,38.33,57,21
87,40.00,57,21
87,40.00,57,21
87,30.00,57,21
87,30.00,57,21
87,30.00,57,21
87,40.83,57,21
87,40.83,57,21
87,30.00,57,21
87,40.83,57,21
87,40.00,57,21
87,40.00,57,21
86,38.33,57,21
87,41.67,57,21
86,40.83,57,21
87,41.67,57,21
87,41.67,58,21
86,82.50,56,21
87,80.83,57,21
87,58.33,56,21
86,55.00,57,21
86,31.67,57,21
86,36.67,56,21
86,36.67,57,21
86,40.83,57,21
87,34.17,57,21
86,34.17,57,21
86,34.17,57,21
86,35.83,57,21
86,37.50,57,21
86,38.33,57,21
86,41.67,57,21
86,36.67,57,21
86,42.50,57,21
86,42.50,58,21
86,30.83,58,21
86,40.00,58,21
86,28.33,57,21
86,32.50,57,21
86,31.67,57,21
86,30.00,57,21
86,40.00,57,21
86,36.67,57,21
86,43.33,56,21
86,33.33,57,21
86,35.83,57,21
86,32.50,57,21
86,42.50,57,21
86,42.50,57,21
86,43.33,57,21
86,44.17,57,21
86,41.67,57,21
86,35.00,56,21
86,35.83,57,21
86,35.00,57,21
86,34.17,57,21
86,25.00,57,21
86,30.00,57,21
86,36.67,57,21
86,35.83,57,21
85,35.00,57,21
85,38.33,57,21
85,34.17,57,21
86,39.17,57,21
85,31.67,57,21
85,40.83,57,21
85,41.67,57,21
85,40.00,57,21
85,43.33,57,21
85,45.00,57,21
85,45.83,57,21
85,51.67,57,21
85,43.33,57,21
85,33.33,57,21
85,39.17,57,21
85,36.67,57,21
85,36.67,57,21
85,30.83,57,21
85,29.17,57,21
85,45.00,57,21
85,30.83,57,21
85,30.00,58,21
85,30.83,57,21
84,33.33,57,21
84,31.67,57,21
84,33.33,57,21
84,34.17,58,21
84,25.00,58,21
84,25.00,59,21
84,20.83,58,21
84,20.83,58,21
84,27.50,58,21
83,25.00,58,21
83,20.83,58,21
83,31.67,58,21
83,78.33,57,21
83,76.67,57,21
83,75.00,57,21
83,74.17,57,21
83,72.50,58,21
83,71.67,57,21
82,70.00,58,21
82,68.33,58,21
82,66.67,57,21
82,65.00,58,21
82,64.17,57,21
81,62.50,57,21
81,62.50,57,21
81,61.67,58,21
81,60.83,58,21
80,61.67,58,21
80,61.67,58,21
80,62.50,58,21
80,62.50,58,21
80,61.67,58,21
80,60.83,58,21
79,60.00,58,21
79,59.17,58,21
79,58.33,58,21
79,57.50,58,21
78,57.50,58,21
78,56.67,57,21
78,56.67,57,21
77,55.83,57,21
77,55.83,58,21
77,56.67,58,21
77,56.67,58,21
76,56.67,58,21
76,57.50,58,21
76,57.50,58,21
75,59.17,58,21
75,60.00,58,21
74,61.67,58,21
74,62.50,58,21
74,63.33,58,21
73,63.33,58,21
73,64.17,58,21
72,65.00,58,21
72,65.00,58,21
72,64.17,58,21
72,63.33,58,21
71,63.33,58,21
70,62.50,58,21
70,63.33,59,21
69,63.33,59,21
68,63.33,59,21
68,63.33,58,21
68,63.33,58,21
68,63.33,58,21
67,62.50,58,21
67,61.67,58,21
67,60.83,58,21
67,60.00,58,21
